,indice,fecha,Region,Generacion Termica actual (MU),Generacion Termica Estimada (MU),Generacion Eolica Actual (MU),Generacion Eolica Estimada (MU),Hidro Generacion Actual (MU),Hidro Generacion Estimada (MU),HDBSCAN_clusters
0,0,9/1/2017,Central y Norte,624.23,484.21,30.36,35.57,273.27,320.81,-1
1,1,9/1/2017,Pacifico,1106.89,1024.33,25.17,3.81,72.0,21.53,-1
2,2,9/1/2017,Zona Sur,576.66,578.55,62.73,49.8,111.57,64.78,3
3,3,9/1/2017,Caribe,441.02,429.39,38.94,36.45,85.94,69.36,3
4,4,9/1/2017,Huetar Norte,29.11,15.91,0.0,0.0,24.64,21.21,1
5,5,9/2/2017,Central y Norte,624.23,507.42,30.36,35.69,273.27,317.19,-1
6,6,9/2/2017,Pacifico,1106.89,1050.91,25.17,3.83,72.0,23.97,-1
7,7,9/2/2017,Zona Sur,576.66,562.79,62.73,52.76,111.57,59.49,3
8,8,9/2/2017,Caribe,441.02,425.75,0.0,0.0,85.94,74.18,0
9,9,9/2/2017,Huetar Norte,29.11,16.5,0.0,0.0,24.64,20.81,1
10,10,9/3/2017,Central y Norte,624.23,492.69,30.36,35.65,273.27,316.69,-1
11,11,9/3/2017,Pacifico,1106.89,1066.73,25.17,3.8,72.0,13.94,-1
12,12,9/3/2017,Zona Sur,572.16,530.68,62.73,53.12,111.57,47.53,3
13,13,9/3/2017,Caribe,445.38,427.61,0.0,0.0,85.94,71.05,0
14,14,9/3/2017,Huetar Norte,29.11,15.52,0.0,0.0,24.64,23.84,1
15,15,9/4/2017,Central y Norte,624.23,568.34,30.36,35.62,273.27,297.47,-1
16,16,9/4/2017,Pacifico,1106.89,1115.43,25.17,3.81,72.0,37.38,-1
17,17,9/4/2017,Zona Sur,572.16,562.81,62.73,53.19,111.57,66.2,3
18,18,9/4/2017,Caribe,445.38,450.85,0.0,0.0,85.94,75.21,0
19,19,9/4/2017,Huetar Norte,29.11,16.85,0.0,0.0,24.64,24.1,1
20,20,9/5/2017,Central y Norte,628.58,597.08,30.36,35.72,273.27,290.23,-1
21,21,9/5/2017,Pacifico,1106.89,1131.78,25.17,3.83,72.0,28.78,-1
22,22,9/5/2017,Zona Sur,576.35,575.06,62.73,53.16,111.57,58.0,3
23,23,9/5/2017,Caribe,449.92,459.09,0.0,0.0,85.94,70.29,0
24,24,9/5/2017,Huetar Norte,29.11,16.64,0.0,0.0,24.64,22.86,1
25,25,9/6/2017,Central y Norte,628.58,628.93,30.36,35.86,273.27,296.1,-1
26,26,9/6/2017,Pacifico,1124.57,1171.82,25.17,3.84,72.0,40.94,-1
27,27,9/6/2017,Zona Sur,576.35,549.1,62.73,53.41,111.57,58.7,3
28,28,9/6/2017,Caribe,449.92,464.82,0.0,0.0,85.94,76.43,0
29,29,9/6/2017,Huetar Norte,29.11,16.44,0.0,0.0,24.64,27.8,1
30,30,9/7/2017,Central y Norte,628.48,651.03,30.36,35.86,273.27,298.57,-1
31,31,9/7/2017,Pacifico,1124.57,1180.3,25.17,3.82,72.0,48.25,-1
32,32,9/7/2017,Zona Sur,585.98,565.52,62.73,53.41,111.57,55.52,3
33,33,9/7/2017,Caribe,449.92,461.96,0.0,0.0,85.94,75.34,0
34,34,9/7/2017,Huetar Norte,29.11,20.71,0.0,0.0,24.64,24.12,1
35,35,9/8/2017,Central y Norte,628.48,689.88,30.36,35.68,273.27,289.16,-1
