indice,fecha,Region,Generacion Termica actual (MU),Generacion Termica Estimada (MU),Generacion Eolica Actual (MU),Generacion Eolica Estimada (MU),Hidro Generacion Actual (MU),Hidro Generacion Estimada (MU)
0,9/1/2017,Central y Norte,624.23,484.21,30.36,35.57,273.27,320.81
1,9/1/2017,Pacifico,1106.89,1024.33,25.17,3.81,72,21.53
2,9/1/2017,Zona Sur,576.66,578.55,62.73,49.8,111.57,64.78
3,9/1/2017,Caribe,441.02,429.39,38.94,36.45,85.94,69.36
4,9/1/2017,Huetar Norte,29.11,15.91,0.00,0.00,24.64,21.21
5,9/2/2017,Central y Norte,624.23,507.42,30.36,35.69,273.27,317.19
6,9/2/2017,Pacifico,1106.89,1050.91,25.17,3.83,72,23.97
7,9/2/2017,Zona Sur,576.66,562.79,62.73,52.76,111.57,59.49
8,9/2/2017,Caribe,441.02,425.75,0.00,0.00,85.94,74.18
9,9/2/2017,Huetar Norte,29.11,16.5,0.00,0.00,24.64,20.81
10,9/3/2017,Central y Norte,624.23,492.69,30.36,35.65,273.27,316.69
11,9/3/2017,Pacifico,1106.89,1066.73,25.17,3.8,72,13.94
12,9/3/2017,Zona Sur,572.16,530.68,62.73,53.12,111.57,47.53
13,9/3/2017,Caribe,445.38,427.61,0.00,0.00,85.94,71.05
14,9/3/2017,Huetar Norte,29.11,15.52,0.00,0.00,24.64,23.84
15,9/4/2017,Central y Norte,624.23,568.34,30.36,35.62,273.27,297.47
16,9/4/2017,Pacifico,1106.89,1115.43,25.17,3.81,72,37.38
17,9/4/2017,Zona Sur,572.16,562.81,62.73,53.19,111.57,66.2
18,9/4/2017,Caribe,445.38,450.85,0.00,0.00,85.94,75.21
19,9/4/2017,Huetar Norte,29.11,16.85,0.00,0.00,24.64,24.1
20,9/5/2017,Central y Norte,628.58,597.08,30.36,35.72,273.27,290.23
21,9/5/2017,Pacifico,1106.89,1131.78,25.17,3.83,72,28.78
22,9/5/2017,Zona Sur,576.35,575.06,62.73,53.16,111.57,58
23,9/5/2017,Caribe,449.92,459.09,0.00,0.00,85.94,70.29
24,9/5/2017,Huetar Norte,29.11,16.64,0.00,0.00,24.64,22.86
25,9/6/2017,Central y Norte,628.58,628.93,30.36,35.86,273.27,296.1
26,9/6/2017,Pacifico,1124.57,1171.82,25.17,3.84,72,40.94
27,9/6/2017,Zona Sur,576.35,549.1,62.73,53.41,111.57,58.7
28,9/6/2017,Caribe,449.92,464.82,0.00,0.00,85.94,76.43
29,9/6/2017,Huetar Norte,29.11,16.44,0.00,0.00,24.64,27.8
30,9/7/2017,Central y Norte,628.48,651.03,30.36,35.86,273.27,298.57
31,9/7/2017,Pacifico,1124.57,1180.30,25.17,3.82,72,48.25
32,9/7/2017,Zona Sur,585.98,565.52,62.73,53.41,111.57,55.52
33,9/7/2017,Caribe,449.92,461.96,0.00,0.00,85.94,75.34
34,9/7/2017,Huetar Norte,29.11,20.71,0.00,0.00,24.64,24.12
35,9/8/2017,Central y Norte,628.48,689.88,30.36,35.68,273.27,289.16
36,9/8/2017,Pacifico,1124.57,1189.75,25.17,3.83,72,35.86
37,9/8/2017,Zona Sur,590.63,549.88,62.73,53.65,111.57,66.92
38,9/8/2017,Caribe,455.66,454.88,0.00,0.00,85.94,81.48
39,9/8/2017,Huetar Norte,29.11,20.85,0.00,0.00,24.64,24.32
40,9/9/2017,Central y Norte,631.16,717.43,30.36,35.58,273.27,278.05
41,9/9/2017,Pacifico,1128.66,1204.61,25.17,3.87,72,38.57
42,9/9/2017,Zona Sur,589.74,549.44,62.73,53.78,111.57,72.25
43,9/9/2017,Caribe,455.66,455.25,0.00,0.00,85.94,80.46
44,9/9/2017,Huetar Norte,29.11,18.92,0.00,0.00,24.64,24.94
45,9/10/2017,Central y Norte,620.05,729.84,30.36,35.72,273.27,275.4
46,9/10/2017,Pacifico,1131.56,1218.51,25.17,3.84,72,33.9
47,9/10/2017,Zona Sur,589.74,548.38,62.73,54.52,111.57,51.99
48,9/10/2017,Caribe,455.66,432.59,0.00,0.00,85.94,72.65
49,9/10/2017,Huetar Norte,29.11,23.01,0.00,0.00,24.64,26.7
50,9/11/2017,Central y Norte,623.3,733.92,30.36,35.66,273.27,283.93
51,9/11/2017,Pacifico,1131.56,1203.65,25.17,3.82,72,54.72
52,9/11/2017,Zona Sur,589.74,574.95,62.73,54.55,111.57,83.2
53,9/11/2017,Caribe,455.66,435.21,0.00,0.00,85.94,77.93
54,9/11/2017,Huetar Norte,29.11,23.32,0.00,0.00,24.64,22.78
55,9/12/2017,Central y Norte,623.3,739.87,30.36,34.56,273.27,271.18
56,9/12/2017,Pacifico,1131.56,1194.99,25.17,3.81,72,74.08
57,9/12/2017,Zona Sur,589.74,585.91,62.73,54.68,111.57,89.81
58,9/12/2017,Caribe,455.66,440.93,0.00,0.00,85.94,71.55
59,9/12/2017,Huetar Norte,29.11,25.41,0.00,0.00,24.64,24.12
60,9/13/2017,Central y Norte,628.08,753.8,30.36,30.69,273.27,263.43
61,9/13/2017,Pacifico,1131.56,1196.40,25.17,3.89,72,61.8
62,9/13/2017,Zona Sur,589.74,602.26,62.73,54.85,111.57,82.27
63,9/13/2017,Caribe,455.66,450.83,0.00,0.00,85.94,72.06
64,9/13/2017,Huetar Norte,29.11,27.89,0.00,0.00,24.64,25.06
65,9/14/2017,Central y Norte,628.08,720.86,30.36,30.71,273.27,257.44
66,9/14/2017,Pacifico,1131.56,1209.96,25.17,3.86,72,62.05
67,9/14/2017,Zona Sur,595.15,589.35,62.73,49.3,111.57,57.32
68,9/14/2017,Caribe,455.66,450.78,0.00,0.00,85.94,77.8
69,9/14/2017,Huetar Norte,29.11,29.45,0.00,0.00,24.64,24.85
70,9/15/2017,Central y Norte,628.08,703.6,30.36,30.66,273.27,260.56
71,9/15/2017,Pacifico,1131.56,1243.93,25.17,3.84,72,41.27
72,9/15/2017,Zona Sur,593.08,593.62,62.73,45.82,111.57,67.95
73,9/15/2017,Caribe,484.74,438.75,0.00,0.00,85.94,83.76
74,9/15/2017,Huetar Norte,29.11,28.63,0.00,0.00,24.64,20.8
75,9/16/2017,Central y Norte,628.08,728.47,30.36,30.65,273.27,246.99
76,9/16/2017,Pacifico,1131.56,1228.99,25.17,3.83,72,17.06
77,9/16/2017,Zona Sur,604.96,573.85,62.73,48.14,111.57,48.77
